    y beat time
1  24    1    1
2  33    1    1
3  37    1    1
4  29    1    1
5  42    1    1
6  44    1    2
7  36    1    2
8  25    1    2
9  27    1    2
10 43    1    2
11 38    1    3
12 29    1    3
13 28    1    3
14 47    1    3
15 48    1    3
16 30    2    1
17 21    2    1
18 39    2    1
19 26    2    1
20 34    2    1
21 35    2    2
22 40    2    2
23 27    2    2
24 31    2    2
25 22    2    2
26 26    2    3
27 27    2    3
28 36    2    3
29 46    2    3
30 45    2    3
31 21    3    1
32 18    3    1
33 10    3    1
34 31    3    1
35 20    3    1
36 41    3    2
37 39    3    2
38 50    3    2
39 36    3    2
40 34    3    2
41 42    3    3
42 52    3    3
43 53    3    3
44 49    3    3
45 64    3    3
