   salary degree   YOE NSP
1    58.8      3  4.49   0
2    34.8      1  2.92   0
3   163.7      3 29.54  42
4    70.0      3  9.92   0
5    55.5      3  0.14   0
6    85.0      2 15.96   4
7    34.0      1  2.27   0
8    29.7      1  1.20   0
9    56.1      2  5.33   3
10   70.6      3 15.74   0
11   74.2      1 22.46   2
12   34.1      1  3.16   0
13   31.6      1  2.62   0
14   65.5      1 15.06   5
15   57.2      3  2.92   0
16   60.3      3  2.26   0
17   41.8      1  9.76   1
18   76.5      3 14.71   4
19  122.1      3 21.76  10
20   85.9      3 15.63   8
21   55.9      3  1.17   0
22   44.3      2  2.33   0
23   79.9      3 17.10  18
24   58.5      2  7.45   0
25   57.3      3  4.55   0
26   61.0      2 14.39   8
27   52.2      2  5.78   3
28   45.7      2  2.08   0
29   44.8      2  1.44   0
30   39.1      2  1.00   0
31   68.1      2 10.53   5
32   48.2      2 19.23   0
33   51.0      2  5.18   0
34   40.7      1  4.43   0
35   51.4      2  3.04   0
36   40.9      2  1.02   0
37   57.7      1 10.14   5
38   95.5      3 26.53   8
39   34.9      1  6.49   0
40   66.6      2 13.97   7
41   30.0      1  4.18   0
42   64.9      3 12.88   6
43  151.2      2 16.01  28
44   72.4      2 11.13   6
45   41.8      2  0.71   0
46   57.8      3  1.55   0
47   72.7      3  3.92   0
48   36.1      1  4.37   0
49   39.8      2  0.79   0
50   29.0      1  0.65   0
51   40.4      2  0.69   0
52   40.7      2  1.09   0
53   41.7      2  1.58   0
54   97.2      3 10.89   8
55   85.3      2 21.08   0
56   42.6      2  7.00   0
57   39.1      1  4.09   0
58   46.6      2  8.86   0
59   53.9      2 11.05   6
60   87.4      3  2.37  13
61   81.7      3  6.37   0
62   42.5      1  8.00   0
63   40.0      2  0.44   0
64   60.5      3  2.10   0
65  104.8      3 19.81  24
