 rent,rentsqm,area,yearc,location,bath,kitchen,cheating,district
120.9743576,3.45641017,35,1939,1,0,0,0,1112
436.9743347,4.201676369,104,1939,1,1,0,1,1112
355.7435913,12.26702118,29,1971,2,0,0,1,2114
282.9230957,7.254435539,39,1972,2,0,0,1,2148
807.2307739,8.321964264,97,1985,1,0,0,1,2222
482.8205261,7.787425518,62,1962,1,0,0,1,2222
323.6923218,10.44168758,31,1965,1,0,0,1,2211
370.9743652,6.081548691,61,1957.5,2,1,0,1,2142
373.6923218,5.190168858,72,1978,1,0,0,1,2143
521.6923218,6.955897331,75,1968,1,0,0,1,2142
644.2050781,9.91084671,65,1956,2,0,0,1,2113
700.4615479,7.697379112,91,1984,1,0,0,1,1402
781.1281738,7.811282158,100,1959,1,0,0,1,1516
412.3076782,12.88461494,32,1994.5,1,0,0,1,1541
330.3076782,5.161056519,64,1962,1,0,0,1,1123
245.8974304,3.903133869,63,1929,1,0,0,0,1132
557.0256348,5.408015728,103,1955,1,1,0,1,1111
424.9743652,5.821564198,73,1980,1,0,0,1,1133
330.2051392,5.50342083,60,1957,1,0,0,1,1123
292.3076782,5.039787769,58,1934,1,0,0,0,1133
333.5384827,10.42307758,32,1972,1,0,0,1,1134
322.2564087,3.978474379,81,1996,1,0,1,1,1212
185.4871826,4.756082058,39,1935,1,0,0,1,1132
472.0512695,4.370845318,108,1955,1,1,0,1,1111
685.5385132,7.87975359,87,1979,2,1,1,1,2145
509.1282043,8.485472679,60,1939,2,0,0,1,2145
688.9743652,5.511795044,125,1979,1,0,0,1,2412
205.3333282,3.064677,67,1964,1,0,0,0,2314
368.7692261,4.609615803,80,1972,1,0,0,1,2314
636.4102783,8.600137711,74,1957,1,0,0,1,2414
237.8974304,5.664226055,42,1962,1,0,0,1,2314
413.2307739,10.59566116,39,1996,1,0,0,1,2314
846.1026001,9.401138306,90,1983,2,0,1,1,2144
375.6922913,4.696153641,80,1971,1,0,0,1,1012
329.8974304,8.046277046,41,1960,1,0,0,1,2421
303.7948914,5.149066448,59,1960,1,0,0,1,2421
925.2821045,8.647497177,107,1918,2,0,0,1,231
483.0256653,7.667071819,63,1929,1,0,0,0,210
1150.153931,7.372779369,156,1918,2,0,0,0,210
531.3845825,4.830768585,110,1918,2,0,0,1,232
664.0512695,10.37579918,64,1918,3,0,0,1,911
312.615387,4.168204784,75,1960,3,0,0,1,924
377.5897522,6.992404938,54,1934,2,0,0,1,922
521.5384521,7.450548649,70,1970,1,0,1,1,1022
471.8461304,6.645718098,71,1970,1,0,0,1,2314
345.8974304,10.48173809,33,1967,3,0,0,1,964
114.4615402,3.270329714,35,1939,1,0,0,0,2314
326.3589783,12.08736897,27,1972,2,0,0,1,922
390.5128174,8.135682106,48,1972,3,0,0,1,911
542.7179565,10.05033302,54,1986,2,0,0,1,964
336.9743347,11.23247719,30,1972,1,0,0,1,2121
486.0512695,5.651759148,86,1965,1,0,0,1,963
433.282074,7.221369267,60,1957.5,2,0,0,1,961
713.5384521,8.201589584,87,1981,1,0,0,1,1361
537.333374,6.888886929,78,1991,1,0,0,1,1346
396.9230652,5.088757038,78,1969,1,0,0,1,1342
528.7692261,5.508009911,96,1967,1,0,0,1,1341
478.8205261,6.74394846,71,1965,2,0,0,1,1544
471.7948608,7.996522903,59,1986,1,1,0,1,1322
341.7948608,4.168230057,82,1982,1,0,0,1,1313
373.0256653,4.287651062,87,1972,1,0,0,1,1345
404.7179565,5.18869257,78,1929,1,0,0,1,1011
530.2051392,7.069399834,75,1967,1,1,1,1,2441
333.7948914,4.768498421,70,1965,1,0,0,1,2441
369.3333435,6.479533195,57,1972,1,0,0,1,2421
704.1025391,9.388035774,75,1984,1,0,0,1,2425
221.0256348,3.453525543,64,1957.5,1,0,0,1,2422
705.3846436,12.16180515,58,1994.5,2,0,0,1,2146
384,6.736840725,57,1918,2,0,0,1,2135
808.3076782,6.571604729,123,1918,2,0,0,1,563
427.0256348,7.117092609,60,1956,1,0,0,1,552
899.6923218,9.886728287,91,1958,1,0,0,1,563
462.2564087,8.721819878,53,1956,1,0,0,1,1711
648.4102783,7.368297577,88,1960,1,0,0,1,1822
239.2820587,4.272893906,56,1929,1,0,0,1,1713
410.1025696,4.882173061,84,1956,2,0,0,1,1373
601.5384521,8.020512581,75,1994.5,1,1,0,1,1402
387.2820435,5.029637337,77,1964,1,0,0,1,1406
341.9487,4.440892696,77,1961,1,0,0,1,521
473.1795044,8.762584686,54,1990,1,0,0,1,1014
316.6666565,4.460093498,71,1965,1,0,0,1,2441
477.9487305,5.622928143,85,1957.5,1,0,0,1,1016
606.1026001,10.45004654,58,1994,2,0,0,1,1532
565.0256958,6.726497173,84,1973,1,0,0,1,1642
291.384613,4.349023819,67,1972,1,0,0,1,1402
575.9487305,5.999466896,96,1924,1,0,0,1,1013
363.8461609,6.737892628,54,1979,1,0,1,1,1015
302.9230957,7.212456226,42,1971,1,0,0,1,1012
466.1538391,6.474359035,72,1983,1,1,0,1,1013
435.4358826,7.138292313,61,1983,1,0,0,1,1013
212.2564087,4.614269733,46,1965,1,0,0,1,1957
419.6410217,11.6566925,36,1985,3,0,0,1,1955
566.4102783,9.285415649,61,1983,1,0,0,1,1957
375.5897522,8.16499424,46,1991,1,0,0,1,1934
276.717926,9.88278389,28,1965,1,0,0,1,1934
1035.435913,9.861292839,105,1991,2,1,0,1,1927
830.1538696,11.85934353,70,1987,3,0,0,1,1952
339.4359131,6.927261353,49,1957.5,2,0,0,1,2026
748.7179565,8.508158684,88,1983,1,1,0,1,2024
424.1538391,5.236466885,81,1962,1,0,0,1,734
601.2820435,6.911286831,87,1972,1,0,0,1,2024
456.2051086,8.294640541,55,1969,1,0,0,1,2027
506.5640869,7.793292522,65,1939,2,0,0,0,2032
503.5384827,6.140712738,82,1941,1,0,0,1,734
243.384613,5.070512772,48,1929,1,0,0,1,163
247.7435913,6.352400303,39,1957.5,2,0,0,1,153
461.1282043,5.240092278,88,1957.5,2,0,0,1,162
338.1538696,5.932523251,57,1964,2,0,0,1,522
414.5641174,6.096533298,68,1918,2,0,0,1,532
352.5641174,5.975661755,59,1958,2,0,0,1,1532
497.6410522,6.724876881,74,1964,1,0,0,1,2011
418.615387,5.980220795,70,1939,1,0,0,1,2522
359.7948608,7.655210018,47,1964,1,0,0,1,2011
284.615387,5.692307949,50,1990,2,0,0,1,2526
270.3076782,3.975112915,68,1955,1,0,0,1,2523
339.0769348,3.897435904,87,1969,1,0,0,1,2526
430.9230652,9.576066971,45,1973,2,0,0,1,2135
292.8205261,5.741579533,51,1971,1,0,0,1,2134
646.1026001,8.076281548,80,1969,2,0,1,1,2525
584,7.584415436,77,1936,1,0,0,1,2524
387.8974609,6.157102108,63,1951,1,0,0,1,2512
238.9743652,3.413919449,70,1965,1,0,0,1,2314
478.0513,6.6395998,72,1972,1,0,0,1,2314
623.4358521,8.906225204,70,1971,1,0,0,1,2411
316.3589783,5.751979351,55,1971,1,0,0,1,1025
667.333374,8.138210297,82,1996,1,0,1,1,2314
400.1538391,5.407482147,74,1972,1,0,0,1,2314
500.9743652,6.03583622,83,1972,1,0,0,1,2313
420.5640869,3.930505514,107,1972,2,0,0,1,1957
535.1282349,9.729605675,55,1959,1,0,0,1,1927
399.2820435,6.142800331,65,1957,1,0,0,1,1912
386.4102478,5.944774151,65,1974,1,0,0,1,1013
513.2820435,11.40626621,45,1991,1,0,0,1,1013
794.2564087,10.18277359,78,1986,1,0,0,1,1013
318.5128174,10.98320007,29,1974,1,0,0,1,1013
278.3077087,8.977666855,31,1963,1,0,0,1,1013
384.9230652,4.582417488,84,1962,2,0,0,1,2131
623.8973999,7.608507633,82,1995,2,0,0,1,2113
409.7948608,8.537395477,48,1983,1,0,0,1,2113
510.4102478,9.630384445,53,1993,1,0,1,1,2148
520.4102783,7.885004997,66,1971,2,0,0,1,2113
601.1795044,9.696446419,62,1984,1,0,0,1,2149
602.8717651,8.86575985,68,1971,1,1,0,1,2324
597.2307739,9.479851723,63,1929,2,0,0,1,2134
451.1794739,7.915431023,57,1995,2,0,0,1,2113
904.7178955,9.047179222,100,1994,1,0,0,1,2234
871.0256348,10.24735832,85,1995,1,1,0,1,2234
530.3589478,10.0067749,53,1971,1,0,0,1,2325
736.1538696,7.36153841,100,1972,1,0,0,1,811
838.4615479,9.316241264,90,1991,1,0,1,1,2226
511.4871826,8.973461151,57,1970,1,0,0,1,2011
365.9487,5.902400017,62,1962,1,0,0,1,2513
497.4871521,5.076399803,98,1918,1,0,0,1,2135
538.3076782,9.968661308,54,1988,2,0,0,1,2515
383.0769348,6.720645905,57,1996,1,0,0,1,2523
346.7692261,4.816239357,72,1951,2,0,0,1,2522
313.3333435,6.666666508,47,1957.5,1,0,0,1,2524
689.8974609,9.077600479,76,1964,2,0,0,1,2526
417.8461609,3.868946075,108,1956,2,0,0,1,2524
560.5128174,6.594266415,85,1957.5,2,0,0,1,371
337.7435913,6.495066643,52,1957.5,2,0,0,1,372
563.4871826,7.132748604,79,1918,2,0,0,0,220
525.2307739,6.648491859,79,1957.5,2,0,0,1,360
208.1025543,6.936754227,30,1956,2,0,0,1,360
517.0256348,8.617092133,60,1990,1,0,1,1,2314
424.5641174,8.491282463,50,1979,1,0,0,1,2412
914.0512695,14.06232738,65,1984,2,0,0,1,162
534.2050781,7.419512749,72,1958,2,0,0,1,153
490.6666565,7.434343815,66,1957.5,2,0,0,0,113
415.7435913,4.470361233,93,1955,1,1,0,1,1112
594.9743042,8.499635696,70,1964,1,0,0,1,1132
383.2307739,5.806528091,66,1957.5,1,0,0,1,1132
421.1794739,4.170094013,101,1959,1,0,0,1,1371
1009.025635,7.20732832,140,1957.5,3,0,0,1,1331
582.6153564,7.768205166,75,1968,2,0,0,1,1333
710.1538696,8.989287376,79,1962,1,0,0,1,1371
793.1281738,7.553599834,105,1980,1,1,0,1,1313
847.5384521,7.243917942,117,1980,1,1,0,1,1313
383.2307739,7.096866608,54,1995,2,0,0,1,2113
385.7435913,4.704190254,82,1929,2,0,0,1,411
328.7179565,5.9766922,55,1918,2,0,0,0,1243
391.0256348,5.507405281,71,1957.5,2,0,0,0,1243
704.1025391,7.184717655,98,1957.5,2,0,0,1,1243
618.5128174,8.590456963,72,1918,2,0,0,1,113
345.3333435,5.569892406,62,1929,2,0,0,1,1243
256,8.82758522,29,1971,2,0,0,1,415
550.9230957,9.031528473,61,1969,1,0,0,1,724
218.0512848,2.319694996,94,1929,1,0,1,1,2513
652.5640869,8.818435669,74,1948,3,0,1,1,925
277.6923218,7.120312691,39,1968,1,0,0,1,1942
482.4615173,7.658117771,63,1968,1,0,0,1,2515
132.615387,2.882942915,46,1954,1,0,0,0,2522
626.9743652,7.124707699,88,1971,2,0,0,1,925
474.9230652,10.79370785,44,1957.5,1,0,0,1,916
306.9230652,4.5135746,68,1929,2,0,0,1,926
481.0769043,5.796107769,83,1957.5,2,0,0,1,411
307.6410522,4.047908306,76,1918,2,0,0,0,426
1149.538452,8.210989952,140,1929,2,1,0,1,1243
510.4102478,5.104102612,100,1935,2,0,0,1,1243
245.8974304,8.196578979,30,1959,2,0,0,1,425
480.4615479,4.804615498,100,1968,1,0,0,1,1641
254.3589783,5.652420521,45,1936,1,0,0,1,1612
390.7692261,5.353005409,73,1955,1,0,0,1,1401
249.7435913,4.896933079,51,1954,1,0,0,1,1612
362.0512695,4.582927227,79,1969,1,0,0,1,1622
490,7.313430786,67,1973,2,1,0,1,1531
77.07692719,1.976331353,39,1949,1,0,0,0,1613
333.1795044,5.949635983,56,1969,2,0,0,1,1408
382.2564087,6.590625763,58,1939,1,0,0,1,1612
417.0256348,9.267235756,45,1996,2,0,0,1,1542
507.9487305,9.768246651,52,1918,1,1,0,1,1812
297.2307434,7.249533176,41,1994,1,0,0,1,1831
543.7435913,5.178512573,105,1973,1,0,0,1,1713
477.5897522,6.542323112,73,1960,1,0,0,1,1822
642,8.794517517,73,1960,1,0,0,1,1822
460.5128174,4.186480045,110,1954,1,1,0,1,1722
515.3846436,4.685314655,110,1960,1,0,0,1,1615
590.6153564,9.228363991,64,1961,1,0,0,1,1631
418.5128174,6.975215435,60,1963,1,0,0,1,1615
298.5641174,9.952137947,30,1972,1,0,0,1,1615
148.5128174,2.475213766,60,1952,1,0,0,1,1714
544.1538086,5.387661934,101,1957,1,0,0,1,1721
435.1282043,5.43910265,80,1929,1,0,0,1,1714
483.7435913,4.397669315,110,1963,1,1,0,1,1722
395.5897522,7.911795139,50,1973,1,0,0,1,1615
429.5384521,5.238271713,82,1954,1,0,0,1,1722
264.615387,6.615384579,40,1970,1,0,0,1,1013
408.0513,5.440681934,75,1994.5,1,1,0,1,2412
180.7179413,2.077217817,87,1966,1,0,0,1,2441
376.9743347,6.854076862,55,1971,1,0,0,1,1012
522.5640869,7.465199947,70,1972,1,0,0,1,2421
642.1025391,8.02628231,80,1984,2,0,0,1,1615
344.1538391,4.84723711,71,1957.5,1,0,0,1,1402
471.7948608,6.837605,69,1971,1,0,0,1,1642
530.2051392,6.311964035,84,1968,1,0,0,1,1641
633.6922607,8.338056564,76,1956,1,0,0,1,1542
479.4871826,5.211815357,92,1955,1,1,0,1,1112
493.4359131,7.364712715,67,1960,1,0,0,1,2421
233.2820435,2.916025639,80,1958,1,0,0,1,2425
144.5641022,2.891282082,50,1957,2,0,0,1,1334
626.5641479,8.950918198,70,1939,2,0,0,1,734
620.666687,9.548718452,65,1972,1,0,0,1,2025
368.4615479,6.14102602,60,1972,1,0,0,1,1944
463.5384827,6.918482304,67,1965,1,0,0,1,1944
593.2820435,8.598292351,69,1929,2,0,0,1,926
354.5128174,12.66117382,28,1959,2,0,0,1,926
422.9230957,4.917710304,86,1970,1,0,0,1,2121
378.615387,6.00976944,63,1962,1,0,0,1,1832
548.5128174,8.846979141,62,1994.5,2,1,0,1,2131
792.4615479,9.005246162,88,1982,1,1,0,1,2135
521.9487305,5.799430847,90,1994.5,2,0,0,1,2143
753.2820435,11.58895302,65,1956,1,0,0,1,2323
596.3590088,7.951451302,75,1972,1,0,0,1,1321
409.9487305,5.394061565,76,1967,1,0,0,1,1342
626.0513306,9.485625267,66,1937,2,0,0,1,1243
606.9743652,12.38723087,49,1971,2,0,0,1,1262
495.9487,6.19935894,80,1918,3,0,0,0,1250
372,4.536585808,82,1964,1,0,0,1,1342
307.2307434,5.20730257,59,1940,1,0,0,1,2525
348.1538696,5.615384579,62,1954,2,0,0,1,2522
248.358963,4.357174873,57,1936,1,0,0,1,2524
282.615387,9.745359421,29,1983,1,0,0,1,2523
398.9230957,8.310896873,48,1967,1,0,0,1,2522
453.8461609,9.07692337,50,1972,1,0,0,1,2524
336.9230652,3.743589878,90,1950,1,0,0,0,2512
238.8205261,10.38350201,23,1972,2,0,0,1,1261
353.7435913,11.79145145,30,1973,1,0,0,1,551
371.2307739,4.884615898,76,1918,1,0,0,1,1713
365.1282043,14.04338932,26,1957.5,1,0,0,1,611
252.8205109,5.056410313,50,1918,1,0,0,1,611
473.8974304,5.575261593,85,1973,2,0,0,1,711
251.5897522,6.62078476,38,1955,1,0,0,0,711
392.5641174,4.51223135,87,1936,2,0,0,1,712
890.9743652,10.48205185,85,1939,1,0,1,1,2024
201.5384674,6.298077106,32,1973,1,0,0,1,611
441.6922913,9.20192337,48,1962,1,0,0,1,711
285.6922913,7.325440884,39,1958,1,0,0,1,1912
540.5128174,6.756410122,80,1965,2,0,0,1,2025
356.615387,8.490840912,42,1957.5,2,0,0,1,1262
292.2564087,3.564102411,82,1918,1,0,0,0,1713
296.9743347,8.48497963,35,1960,1,0,0,1,1822
712.4615479,8.795820236,81,1955,3,0,0,1,1373
833.333313,10.28806591,81,1918,2,0,0,1,232
274.5641174,5.180456161,53,1961,2,0,0,1,532
700.8204956,8.244948387,85,1918,2,0,0,1,231
626.1026001,8.131199837,77,1957.5,2,0,0,1,231
404.4615479,2.952273846,137,1939,1,1,0,1,522
540.4102783,9.650184631,56,1918,2,0,0,1,231
438.1538696,5.476923466,80,1918,2,0,0,0,220
439.8974304,9.997666359,44,1957.5,2,0,0,1,1407
173.1282043,2.663510799,65,1956,2,0,0,1,1242
446.3076782,4.057342529,110,1924,1,0,0,0,1236
733.8973999,6.115810394,120,1918,2,0,0,1,1242
328.8205261,10.27564144,32,1983,1,0,0,1,2522
454.3589783,9.465810776,48,1983,1,0,0,1,2114
613.4871826,8.290369034,74,1939,2,0,0,0,942
571.6409912,7.724876881,74,1973,1,0,0,1,2513
734.5128174,7.345128059,100,1981,2,1,0,1,2142
391.0769043,6.411097527,61,1918,1,0,0,0,422
506.7692261,5.508358955,92,1939,1,0,0,1,1122
407.0256348,6.78375864,60,1964,1,0,0,1,1121
284.3077087,7.481779575,38,1959,2,0,0,1,941
597.9487305,6.294194698,95,1957.5,1,0,0,1,951
294.5128174,5.453943729,54,1918,1,0,0,0,962
253.384613,7.678322792,33,1957.5,2,0,0,1,942
356.8204956,4.351469517,82,1969,2,0,0,1,951
491.7435913,8.940794945,55,1984,1,0,0,1,2512
371.6410217,9.291026115,40,1958,2,0,0,1,941
333.4871826,3.585883617,93,1929,1,0,0,0,2513
619.5384521,8.151821136,76,1918,1,0,0,1,962
419.7435913,6.662594795,63,1950,1,0,0,1,2512
593.9486694,6.987630844,85,1997,1,0,0,1,1321
378.0513,6.750918388,56,1963,1,0,0,1,1342
339.4871826,5.853225708,58,1972,1,0,0,1,1362
356.2564087,11.13301468,32,1972,1,0,0,1,1321
382.2564087,12.74188232,30,1968,3,0,0,1,927
214.3076935,7.653846264,28,1970,3,0,0,1,925
553.6922607,8.788764,63,1991,1,0,0,1,2221
654.9230347,10.91538429,60,1918,2,0,0,1,913
377.5384827,4.494505882,84,1935,3,0,0,0,925
464.6666565,7.14871788,65,1957.5,1,0,0,1,2221
502.9743652,4.790231705,105,1929,3,0,0,1,925
501.1282043,6.508159161,77,1939,1,0,0,1,927
665.7949219,7.832882404,85,1996,1,0,1,1,2324
384.9230652,5.498902798,70,1929,1,0,0,1,915
222.9230804,4.743044376,47,1929,1,0,0,1,916
513.1795044,6.414743423,80,1972,2,0,0,1,914
592.4102173,7.693640709,77,1962,1,0,0,1,1714
552.4615479,4.977131367,111,1954,1,1,0,1,1722
379.7948608,6.548184395,58,1962,1,0,0,1,1714
464.4615479,5.664164066,82,1954,1,0,0,1,1722
484.9743652,6.643482208,73,1973,1,0,0,1,1643
514,7.342856407,70,1973,1,0,0,1,1643
498.2051392,5.083725929,98,1959,1,0,0,1,1714
303.384613,4.667455196,65,1961,1,0,0,1,1631
851.8461304,8.112820625,105,1975,1,0,0,1,1644
485.8974304,7.712656021,63,1982,1,0,0,1,1646
510,6.710528374,76,1955,2,0,0,1,1842
285.5384521,3.614410639,79,1939,1,0,0,1,816
344.615387,3.161609173,109,1924,1,0,0,0,816
589.2820435,9.207533836,64,1918,1,0,0,1,822
795.5897827,10.19986629,78,1972,2,0,1,1,532
465.1794739,4.228904247,110,1957.5,3,0,0,0,911
385.2307739,6.315256119,61,1969,1,0,0,1,1013
507.8974609,7.255676746,70,1991,1,1,0,1,1013
300.1538391,3.751923084,80,1918,1,0,0,0,1014
388.2564087,8.088676453,48,1972,1,0,0,1,1013
374.8205261,4.515910149,83,1929,1,1,0,0,1025
426.5128174,8.885682106,48,1972,1,0,0,1,1013
501.9487,7.274620533,69,1957.5,1,0,0,1,1025
503.2307739,12.58076859,40,1964,1,0,0,1,1362
556.8205566,10.31149292,54,1984,1,0,0,1,1361
824.4614868,7.705246449,107,1969,2,0,0,1,1312
553.5384521,4.393162251,126,1957,1,0,0,1,1112
551.5384521,10.02797413,55,1957.5,2,0,0,1,273
875.2307739,6.837738037,128,1929,1,1,0,1,273
356.2564087,4.00288105,89,1980,2,1,0,1,943
407.4358826,3.703962564,110,1918,2,0,0,1,813
280.3076782,10.01098919,28,1969,2,0,0,1,563
238.3076935,6.80878973,35,1918,1,0,0,1,1711
599.9487305,11.11016369,54,1918,2,0,0,1,284
235.6923065,4.447024822,53,1957.5,1,0,0,1,282
258.9230652,2.725506067,95,1918,1,0,0,1,816
661.2820435,5.37627697,123,1929,1,0,0,1,816
507.7948914,9.067764282,56,1939,1,0,0,1,621
977.1795044,10.62151814,92,1994.5,2,1,0,1,1541
1334.974365,10.11344147,132,1995,2,0,0,1,1543
574.0512695,9.897435188,58,1957.5,2,0,0,1,1544
929.333313,9.782456398,95,1976,3,0,0,1,1952
1168.974365,11.689744,100,1967,3,1,0,1,1952
732.3076782,9.153846741,80,1970,2,0,0,1,1931
290.2564087,10.36629677,28,1992,2,0,0,1,1934
434,5.424999714,80,1973,1,0,0,1,2024
690.3589478,10.62090778,65,1965,1,0,0,1,1944
532.6153564,11.57859516,46,1991,2,0,0,1,282
505.0256348,6.392728329,79,1991,1,0,0,1,1213
425.5384521,7.598902225,56,1988,1,0,0,1,1133
524.666626,6.995553493,75,1972,1,0,0,1,1013
298.2051392,6.085820198,49,1957.5,2,0,0,1,360
410.5128174,5.473502636,75,1957.5,2,0,0,1,360
418.615387,5.656964302,74,1929,2,0,1,1,153
342.0512695,11.03391266,31,1929,2,0,0,1,360
164.1538544,3.647863626,45,1918,1,0,0,1,816
365.9487,4.87931633,75,1959,2,0,0,1,360
384.5128174,6.408548832,60,1957.5,2,0,0,1,360
265.8461609,5.425430775,49,1959,2,0,0,1,372
459.4359131,4.548870564,101,1918,2,0,0,0,360
492.3589478,6.154487133,80,1929,2,0,0,1,421
302.9230957,8.654943466,35,1929,2,0,0,1,372
372,2.695652485,138,1918,2,0,0,1,133
675.6410522,8.043343544,84,1918,2,0,0,1,360
168.9743652,5.632476807,30,1970,1,0,0,1,2513
466.6666565,8.0459795,58,1970,2,0,0,1,2526
275.5897522,3.242232323,85,1964,2,0,0,1,2524
452,9.039999962,50,1957.5,2,0,0,1,2012
178.8205261,3.193223715,56,1956,1,0,0,0,2522
376.9743347,6.080230713,62,1962,2,0,0,1,2523
355.6922913,6.84023571,52,1969,1,0,0,1,2522
338,5.281251431,64,1963,2,0,0,1,2526
197.7435913,8.988343239,22,1958,1,0,0,1,2514
498.9743652,5.802025318,86,1962,1,0,0,1,2513
240.5641022,4.626233101,52,1960,2,0,0,0,2526
526.9743652,10.33283043,51,1971,1,0,0,1,1615
168.2564087,2.804273129,60,1939,1,0,0,1,1714
368.5641174,6.825261593,54,1959,1,0,0,1,1714
345.384613,7.348610401,47,1971,1,0,0,1,1713
186.7179565,3.889957428,48,1918,1,0,0,0,1711
799.0769043,9.512820244,84,1970,1,0,0,1,1713
373.8461609,7.476922989,50,1957.5,2,0,0,1,563
130.8205109,2.669806004,49,1953,1,0,0,1,1712
407.9487305,7.417251587,55,1957.5,1,0,0,1,1713
446.615387,7.700266838,58,1971,2,0,0,1,1851
537.1282349,8.392630577,64,1972,1,0,0,1,1957
571.1281738,8.158974648,70,1940,2,0,0,1,732
355.7435913,5.64672327,63,1961,1,0,0,1,1926
698.3590088,8.215989113,85,1970,2,0,0,1,1935
304,6.755554199,45,1972,2,0,0,1,1957
218.7179413,4.374358654,50,1965,2,0,0,1,1933
628.1538696,10.46923161,60,1992,1,0,1,1,622
256.6666565,4.010416985,64,1929,1,0,0,1,1912
414.9230652,5.607066631,74,1957.5,1,0,0,1,623
222.5641022,7.418805122,30,1956,1,0,0,1,624
527.2307739,6.937245846,76,1971,1,0,0,1,724
397.384613,7.947692394,50,1929,1,0,0,1,623
510.2564087,7.97275877,64,1972,1,0,0,1,723
193.3333282,3.515151739,55,1939,2,0,0,1,532
241.8461609,3.06134367,79,1918,2,0,0,0,522
884.8204956,6.458543777,137,1918,1,1,0,1,163
655.4359131,4.520247459,145,1929,2,1,0,1,163
